Doc_id,Question,Answer,Generated_Answer
20.txt,Đại học Quốc gia Hà Nội có tên thường gọi là gì?,ĐHQGHN,VNU
50.txt,"Địa chỉ email của Trường Đại học Khoa học Xã hội và Nhân văn, ĐHQGHN là gì?",contact@ussh.edu.vn,email: contact@ussh.edu.vn
28.txt,Số suất học bổng được đề cập trong thông báo là bao nhiêu?,02 suất học bổng ULIS-SNHU STAR-UP và các suất học bổng khuyến học,38.287.500
14.txt,Mã trường Đại học Công Thương TP HCM là gì?,Không có thông tin về mã trường Đại học Công Thương TP HCM trong tài liệu,Tôi không biết.
17.txt,Đại học Quốc gia Hà Nội (VNU) có vị trí địa lý đắc địa tại thủ đô Hà Nội.,Có,Đại học Quốc gia Hà Nội (VNU) có vị trí địa lý đắc địa tại
17.txt,Đại học Quốc gia Hà Nội (VNU) được thành lập theo Nghị định số 97/CP ngày 10 tháng 12 năm 1993 của Chính phủ.,1993,Đại học Quốc gia Hà Nội (VNU) được thành lập theo Nghị định số 97
37.txt,Đại học Quốc gia Hà Nội tuyển sinh bao nhiêu sinh viên năm 2025?,Hơn 20.000 sinh viên,Tôi không biết.
23.txt,Kỳ nghỉ lễ 30/4 – 1/5 năm nay kéo dài bao nhiêu ngày?,4 ngày,Tôi không biết.
66.txt,Đại học Quốc gia Hà Nội có cơ sở vật chất tại địa điểm nào?,"Lưu Hữu Phước, Cầu Diễn, Nam Từ Liêm, Hà Nội",Tôi không biết.
8.txt,ĐHQGHN đã mở thêm 4 chuyên ngành đào tạo cử nhân thích ứng với thị trường lao động vào ngày nào?,25/03/2025,Tôi không biết.
38.txt,Đại học Quốc gia Hà Nội có bao nhiêu ngành đào tạo cử nhân chuẩn quốc tế?,Có ít nhất 2 ngành đào tạo cử nhân chuẩn quốc tế,Tôi không biết.
61.txt,"Năm 1900, Đại học Carnegie Mellon được thành lập?",Có,Tôi không biết.
42.txt,"ĐHQGHN được thành lập trên cơ sở tổ chức, sắp xếp lại 03 trường đại học lớn ở Hà Nội là?","Trường Đại học Tổng hợp Hà Nội, Trường Đại học Sư phạm Hà Nội I và Trường Đại học Sư phạm Ngoại ngữ Hà Nội","Trường Đại học Tổng hợp Hà Nội, Trường Đại học Sư phạm Hà Nội I và Trường"
63.txt,VJU có hotline nào để liên hệ?,(+84) 966 954 736 hoặc (+84) 969 638 426,0919 405 885 (Hà Nội) - 0919 435 885 (
20.txt,Trường Quốc tế của Đại học Quốc gia Hà Nội có địa chỉ cơ sở Xuân Thuỷ ở đâu?,"Nhà E5 & G7, 144 Xuân Thủy, Cầu Giấy, Hà Nội","144 đường Xuân Thủy, Quận Cầu Giấy, Hà Nội"
5.txt,Đại học Quốc gia Hà Nội có bao nhiêu tỉnh thành có trường THPT?,Không có thông tin cụ thể trong tài liệu,Tôi không biết.
3.txt,Đại học Quốc gia Hà Nội có trụ sở chính tại địa chỉ nào?,"144 Xuân Thủy, Cầu Giấy, Hà Nội","144 đường Xuân Thủy, Quận Cầu Giấy, Hà Nội"
65.txt,Số điện thoại email của VJU là bao nhiêu?,"admission@vju.ac.vn, info@vju.ac.vn",Không có thông tin về số điện thoại email của VJU trong đoạn văn cung cấp.
61.txt,Điện thoại của Trường Khoa học liên ngành và Nghệ thuật là 0243 754 7716?,Có,0243 754 7716
31.txt,ĐHQGHN có bao nhiêu sinh viên tốt nghiệp nhận 2 bằng đại học và 2.500 sinh viên đang theo học bằng kép từ năm 2015 đến nay?,Khoảng hơn 3.000 sinh viên tốt nghiệp nhận 2 bằng đại học và 2.500 sinh viên đang theo học bằng kép,Tôi không biết.
50.txt,Căn cứ Quy chế đào tạo tiến sĩ ở Đại học Quốc gia Hà Nội được ban hành kèm theo Quyết định số nào?,3638/QĐ-ĐHQGHN,3079 /QĐ-ĐHQGHN
33.txt,Đại học Quốc gia Hà Nội có bao nhiêu đơn vị dịch vụ và hỗ trợ trực thuộc?,Không rõ trong tài liệu,Tôi không biết.
32.txt,"Địa điểm của Khu đô thị ĐHQGHN tại Hoà Lạc, Thạch Thất, Hà Nội là gì?",Hà Nội,Trường Đại học Quốc gia Hà Nội tại Hòa Lạc
24.txt,"Tuổi Trẻ Sao cho phép thành viên tham gia các hoạt động và tương tác như tặng Sao cho tác giả và các bài viết yêu thích, đổi quà lưu niệm trong chương trình.",Có,Tôi không biết.
48.txt,Đại học Vietnam Japan University có địa chỉ ở đâu?,"Luu Huu Phuoc Road, My Dinh 1 Residential Area, Cau Dien Ward, Nam Tu Liem District, Hanoi, Vietnam và Hoa Lac, Thach That District, Ha Noi, Vietnam",Không có thông tin về địa chỉ của Đại học Vietnam Japan University trong đoạn văn bản cung cấp.
19.txt,"Mức điểm ưu tiên áp dụng cho khu vực là 0,75 điểm, khu vực 2 nông thôn là 0,5 điểm, khu vực 2 là 0,25 điểm, khu vực 3 không được tính điểm ưu tiên?",Có,"0,75"
