Doc_id,Question,Answer
39.txt,Đại học Quốc gia Hà Nội có bao nhiêu trường đại học thành viên?,"Không rõ trong tài liệu, nhưng có thể là nhiều trường đại học thành viên"
39.txt,Đại học Quốc gia Hà Nội được thành lập vào năm nào?,Không rõ trong tài liệu
39.txt,Đại học Quốc gia Hà Nội có bao nhiêu khoa trực thuộc?,Không rõ trong tài liệu
39.txt,Đại học Quốc gia Hà Nội có bao nhiêu chương trình đào tạo?,"Có nhiều chương trình đào tạo như chương trình đào tạo chuẩn, chất lượng cao, tài năng, đạt chuẩn quốc tế, ngành chính - ngành phụ, ngành kép,.."
39.txt,Đại học Quốc gia Hà Nội có bao nhiêu hình thức đào tạo?,Có hai hình thức đào tạo chính là đào tạo chính quy và đào tạo vừa làm vừa học
39.txt,Đại học Quốc gia Hà Nội có bao nhiêu nguồn kinh phí đào tạo?,"Có nguồn kinh phí từ Ngân sách nhà nước, học phí và các nguồn kinh phí hợp pháp khác"
39.txt,Đại học Quốc gia Hà Nội có bao nhiêu đơn vị đào tạo?,"Có nhiều đơn vị đào tạo như các trường đại học thành viên, các khoa và trung tâm trực thuộc có nhiệm vụ thường xuyên về đào tạo đại học"
39.txt,Đại học Quốc gia Hà Nội có bao nhiêu tiêu chuẩn đánh giá chất lượng đào tạo?,"Có nhiều tiêu chuẩn đánh giá chất lượng đào tạo như kiểm định chất lượng giáo dục, kiểm tra, đánh giá kết quả học tập, công nhận tốt nghiệp,.."
39.txt,Đại học Quốc gia Hà Nội có bao nhiêu cơ sở vật chất phục vụ công tác đào tạo?,"Có nhiều cơ sở vật chất như giảng đường, phòng thí nghiệm, thư viện, cơ sở giáo dục quốc phòng, giáo dục thể chất, cơ sở hạ tầng công nghệ thông tin,.."
39.txt,Đại học Quốc gia Hà Nội có bao nhiêu giảng viên và cán bộ nghiên cứu khoa học?,Không rõ trong tài liệu
39.txt,Đại học Quốc gia Hà Nội có bao nhiêu sinh viên theo học?,Không rõ trong tài liệu
39.txt,Đại học Quốc gia Hà Nội có bao nhiêu cơ sở đào tạo đại học có tư cách pháp nhân của nước ngoài?,Không rõ trong tài liệu
39.txt,Đại học Quốc gia Hà Nội có bao nhiêu chương trình đào tạo liên kết quốc tế?,Có nhiều chương trình
35.txt,Đại học Quốc gia Hà Nội có trụ sở tại thành phố nào?,Hà Nội
35.txt,Đại học Quốc gia Hà Nội được thành lập vào năm nào?,Không rõ
35.txt,Đại học Quốc gia Hà Nội có bao nhiêu trường đại học thành viên?,Không rõ
35.txt,"Đại học Quốc gia Hà Nội có trụ sở tại khu đô thị ĐHQGHN tại Hoà Lạc, Thạch Thất, Hà Nội từ năm nào?",Không rõ
35.txt,"Đại học Quốc gia Hà Nội có trụ sở tại khu đô thị ĐHQGHN tại Hoà Lạc, Thạch Thất, Hà Nội có giấy phép số 993/GP-TTĐT từ năm nào?",2020
