Question,Generated_Answer
Đại học Quốc gia Hà Nội có bao nhiêu chương trình đào tạo?,Hơn 300 chương trình đào tạo.
Đại học Quốc gia Hà Nội có bao nhiêu hình thức đào tạo?,Hơn 200.
Đại học Quốc gia Hà Nội có bao nhiêu nguồn kinh phí đào tạo?,Hơn 500 nguồn kinh phí đào tạo.
Đại học Quốc gia Hà Nội có bao nhiêu đơn vị đào tạo?,13
Đại học Quốc gia Hà Nội có bao nhiêu tiêu chuẩn đánh giá chất lượng đào tạo?,6 tiêu chuẩn đánh giá chất lượng đào tạo.
Đại học Quốc gia Hà Nội có bao nhiêu cơ sở vật chất phục vụ công tác đào tạo?,15.000
Đại học Quốc gia Hà Nội có bao nhiêu chương trình đào tạo liên kết quốc tế?,Tôi không biết.
Đại học Quốc gia Hà Nội có trụ sở tại thành phố nào?,Hà Nội.
"Đại học Quốc gia Hà Nội có trụ sở tại khu đô thị ĐHQGHN tại Hoà Lạc, Thạch Thất, Hà Nội có giấy phép số 993/GP-TTĐT từ năm nào?",2013
"Đại học Quốc gia Hà Nội có trụ sở tại khu đô thị ĐHQGHN tại Hoà Lạc, Thạch Thất, Hà Nội có webmaster là ai?",Tôi không biết.
"Đại học Quốc gia Hà Nội tổ chức Hội nghị Khoa học, công nghệ và đổi mới sáng tạo thường niên năm 2023 vào ngày nào?",tháng 11
ĐHQGHN xác định năm 2023 là năm đột phá về hoạt động KH&CN. Mục tiêu của năm này là gì?,"ĐHQGHN xác định năm 2023 là năm đột phá về hoạt động KH&CN, mục tiêu năm 2023 là ""Xây dựng và thực hiện chiến lược phát triển KH&CN bền vững, thúc đẩy chuyển đổi số"
Các nhóm nghiên cứu mạnh của ĐHQGHN được ưu tiên đầu tư để đạt trình độ khu vực và quốc tế. Các lĩnh vực nghiên cứu của các nhóm này bao gồm?,"Nghiên cứu về cơ bản và ứng dụng, công nghệ sinh học, công nghệ sinh vật học và sinh học môi trường."
"ĐHQGHN đã ban hành nhiều cơ chế, chính sách trọng dụng, đãi ngộ các nhà khoa học, tạo động lực thúc đẩy phát triển các tiềm lực KH&CN và đổi mới sáng tạo. Các chính sách này bao gồm?","Đạo decree 1422/2016/ND-CP, 179/2017/ND-CP, 01/2020/ND-CP"
"ĐHQGHN đã công bố danh sách 09 phòng thí nghiệm/trung tâm nghiên cứu trọng điểm cấp ĐHQGHN giai đoạn 2023-2028, bao gồm?",Tôi không biết.
ĐHQGHN đã công bố danh sách 30 nhóm nghiên cứu mạnh cấp ĐHQGHN bao gồm?,Nhóm nghiên cứu mạnh về Y học
ĐHQGHN đã công bố hỗ trợ 06 nhóm nghiên cứu mạnh/phòng thí nghiệm trọng điểm nhằm phát triển sản phẩm bao gồm?,"Nghiên cứu và phát triển công nghệ sinh học, công nghệ sinh học và công nghệ sinh học - kỹ thuật."
Đại học Quốc gia Hà Nội có tên gọi nào khác trước đây?,Đại học Sư phạm Hà Nội.
Địa điểm đặt trụ sở của Đại học Quốc gia Hà Nội là ở đâu?,Tổ chức Giáo dục và Đào tạo
Giấy phép số 993/GP-TTĐT ngày 20/3/2020 là giấy phép của cơ quan nào?,Bộ Giáo dục và Đào tạo
Địa chỉ liên hệ của Đại học Quốc gia Hà Nội là gì?,"Địa chỉ liên hệ của Đại học Quốc gia Hà Nội là 1 Nguyễn Văn Cừ, Phường Đống Đa, Quận Hà Nội, Việt Nam."
"Đại học Quốc gia Hà Nội có nhiều trường trực thuộc, bao gồm các trường nào?","Đại học Quốc gia Hà Nội có nhiều trường trực thuộc, bao gồm Trường ĐH Sư phạm Hà Nội, Trường ĐH Khoa học Xã hội và Nhân loại, Trường ĐH Kinh tế, Trường ĐH Sư phạm Teacher Training,"
"Đại học Quốc gia Hà Nội có nhiều đơn vị nghiên cứu khoa học, bao gồm các đơn vị nào?","Đại học Quốc gia Hà Nội có nhiều đơn vị nghiên cứu khoa học, bao gồm: Trung tâm Nghiên cứu Tiêu chuẩn và Kỹ thuật (CERT), Trung tâm Nghiên cứu Phát triển Công nghệ Giao tiếp ("
"Đại học Quốc gia Hà Nội có nhiều trung tâm đào tạo trực thuộc, bao gồm các trung tâm nào?","Trung tâm đào tạo trực thuộc Đại học Quốc gia Hà Nội bao gồm Trung tâm Công nghệ Giao tiếp, Trung tâm Sư phạm, Trung tâm Phát triển Khoa học và Công nghệ, Trung tâm Sư phạm Đa phương tiện, Trung"
"Đại học Quốc gia Hà Nội có nhiều đơn vị dịch vụ và hỗ trợ, bao gồm các đơn vị nào?","Đào tạo, đào tạo nghề, dịch vụ khách hàng, văn phòng, thư viện, bệnh viện, quán ăn, quán cà phê, khu vực giao lưu, quán karaoke, quán bowling, quán thể thao, quán thể dục, phòng"
"Đại học Quốc gia Hà Nội có nhiều đơn vị thực hiện nhiệm vụ đặc biệt, bao gồm các đơn vị nào?","Đại học Quốc gia Hà Nội có nhiều đơn vị thực hiện nhiệm vụ đặc biệt, bao gồm: Viện Nghiên cứu Khảo cổ, Viện Văn hóa, Viện Nghiên cứu Khám phá, Trung tâm An sinh xã hội,"
"Đại học Quốc gia Hà Nội có nhiều văn bản pháp quy, bao gồm các văn bản nào?","Quy định, quy chế, quy phạm, văn bản pháp luật, quy định, quy trình, nghị định, pháp lệnh, quy chế, quy phạm, quy định, quy trình, nghị định, pháp lệnh, quy chế, quy phạm"
"Trường Đại học Giáo dục, Đại học Quốc gia Hà Nội được thành lập vào năm nào?",1988
Thành phố Hà Nội là thủ đô của quốc gia nào?,Việt Nam
Đại học Quốc gia Hà Nội có bao nhiêu trường thành viên?,10
Khoa Sư phạm được thành lập vào ngày nào?,1960
Hiệu trưởng Trường Đại học Giáo dục hiện tại là ai?,Nguyễn Hữu Tùng
Trường Đại học Giáo dục có bao nhiêu khoa?,4
"Viện Nghiên cứu lâm sàng về xã hội, tâm lý và giáo dục được thành lập vào ngày nào?",2008
Trường Đại học Giáo dục có bao nhiêu sinh viên sau đại học?,Tôi không biết.
Trường Đại học Giáo dục có bao nhiêu giảng viên?,Tôi không biết.
Đại học Quốc gia Hà Nội có bao nhiêu thành viên trong ASEAN?,Không có thông tin về thành viên của Đại học Quốc gia Hà Nội trong ASEAN.
Trường Đại học Giáo dục có bao nhiêu Phó hiệu trưởng?,Tôi không biết.
Trường ĐHKHTN được thành lập trên cơ sở hợp nhất 4 khối THPT Chuyên vào năm nào?,1995
Số lượng sinh viên hệ đại học chính quy của Trường ĐHKHTN trong năm nào giữ ổn định?,1989
Trường ĐHKHTN đã triển khai áp dụng phương thức đào tạo tín chỉ toàn phần vào năm nào?,2011
Số lượng chuyên ngành đào tạo tiến sĩ của Trường ĐHKHTN hiện nay là bao nhiêu?,Tôi không biết.
Số lượng chuyên ngành đào tạo thạc sĩ của Trường ĐHKHTN hiện nay là bao nhiêu?,Tôi không biết.
Địa chỉ của Trường ĐHKHTN là ở đâu?,"Địa chỉ của Trường ĐHKHTN là 01 Xuân Diệu, phường Trung Phố, quận Đống Đa, Hà Nội."
Số điện thoại của Trường ĐHKHTN là bao nhiêu?,Tôi không biết.
Số fax của Trường ĐHKHTN là bao nhiêu?,Tôi không biết.
